rank,name,domain,country,headquarters,state,employees,ceo,funding,shortDescription,twitter,crunchbase,linkedin
19,C3 IoT,c3iot.com,United States,"Redwood City, California",California,150,Thomas Siebel,200,Industrial IoT and AI,http://twitter.com/C3IoT,https://www.crunchbase.com/organization/c3,http://linkedin.com/company/462067
99,Campaign Monitor,campaignmonitor.com,United States,"San Francisco, California",California,250,Adam Berger,250,Email marketing,http://twitter.com/CampaignMonitor,https://www.crunchbase.com/organization/campaign-monitor,
100,Canva,canva.com,Australia,"Sydney, Australia",,200,Melanie Perkins,42,Digital design,http://twitter.com/canva,https://www.crunchbase.com/organization/canva,http://linkedin.com/company/2850862
48,Carbon Black,carbonblack.com,United States,"Waltham, Massachusetts",Massachusetts,825,Patrick Morley,190,Cybersecurity,http://twitter.com/CarbonBlack_Inc,https://www.crunchbase.com/organization/bit9,http://linkedin.com/company/497437
11,Cloudflare,cloudflare.com,United States,"San Francisco, California",California,467,Matthew Prince,182,Cybersecurity,http://twitter.com/cloudflare,https://www.crunchbase.com/organization/cloudflare,http://linkedin.com/company/407222
96,Code42,code42.com,United States,"Minneapolis, Minnesota",Minnesota,524,Joe Payne,138,Cybersecurity,http://twitter.com/code42,https://www.crunchbase.com/organization/code-42-software,http://linkedin.com/company/113187
91,Collibra,collibra.com,United States,"New York, New York",New York,200,Felix Van de Maele,75,Data governance,http://twitter.com/collibra,https://www.crunchbase.com/organization/collibra,http://linkedin.com/company/288365
97,Confluent,confluent.io,United States,"Palo Alto, California",California,120,Jay Kreps,81,Data streaming,http://twitter.com/confluentinc,https://www.crunchbase.com/organization/confluent,http://linkedin.com/company/88873
30,CrowdStrike,crowdstrike.com,United States,"Irvine, California",California,651,George Kurtz,256,Cybersecurity,http://twitter.com/CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,http://linkedin.com/company/2497653
17,Cylance,cylance.com,United States,"Irvine, California",California,803,Stuart McClure,177,Cybersecurity,http://twitter.com/cylanceinc,https://www.crunchbase.com/organization/cylance,http://linkedin.com/company/2715706
66,DataStax,datastax.com,United States,"Santa Clara, California",California,450,Billy Bosworth,190,Data management,http://twitter.com/datastax,https://www.crunchbase.com/organization/datastax,http://linkedin.com/company/1786002
69,Databricks,databricks.com,United States,"San Francisco, California",California,200,Ali Ghodsi,108,Data analytics,http://twitter.com/databricks,https://www.crunchbase.com/organization/databricks,http://linkedin.com/company/3477522
37,Datadog,datadoghq.com,United States,"New York, New York",New York,400,Olivier Pomel,148,Monitoring software,http://twitter.com/datadoghq,https://www.crunchbase.com/organization/datadog,http://linkedin.com/company/1066442
82,Dataminr,dataminr.com,United States,"New York, New York",New York,230,Ted Bailey,180,Real time alerts,http://twitter.com/Dataminr,https://www.crunchbase.com/organization/dataminr,http://linkedin.com/company/2368665
65,DigitalOcean,digitalocean.com,United States,"New York, New York",New York,330,Ben Uretsky,123,Infrastructure,http://twitter.com/digitalocean,https://www.crunchbase.com/organization/digitalocean,http://linkedin.com/company/2601253
4,DocuSign,docusign.com,United States,"San Francisco, California",California,2030,Dan Springer,525,Digital transactions,http://twitter.com/DocuSign,https://www.crunchbase.com/organization/docusign,http://linkedin.com/company/19022
15,Domo,domo.com,United States,"American Fork, Utah",Utah,824,Josh James,690,Business management,http://twitter.com/Domotalk,https://www.crunchbase.com/organization/domo,http://linkedin.com/company/25237
2,Dropbox,dropbox.com,United States,"San Francisco, California",California,1500,Drew Houston,600,Collaboration and storage,http://twitter.com/Dropbox,https://www.crunchbase.com/organization/dropbox,http://linkedin.com/company/167251
45,Duo Security,duo.com,United States,"Ann Arbor, Michigan",Michigan,400,Dug Song,49,Cybersecurity,http://twitter.com/duosec,https://www.crunchbase.com/organization/duo-security,http://linkedin.com/company/1585421
