"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"566",566,550,"B.R. Shetty","Shetty","br-shetty","br-shetty",4000,76,"healthcare","Healthcare","M","India","//specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741",4
"567",567,550,"Jeff Sutton","Sutton","jeff-sutton","no-pic",4000,58,"real estate","Real Estate","M","United States",NA,4
"568",568,550,"Tony Tan Caktiong","Tan Caktiong","tony-tan-caktiong","tony-tan-caktiong",4000,65,"food","Food and Beverage","M","Philippines","//specials-images.forbesimg.com/imageserve/599b5d1b4bbe6f5997f04310/416x416.jpg?background=000000&cropX1=783&cropX2=3434&cropY1=17&cropY2=2667",4
"569",569,550,"Yu Huijiao","Yu","yu-huijiao","yu-huijiao",4000,51,"package delivery","Logistics","M","China","//specials-images.forbesimg.com/imageserve/5a7d1bc14bbe6f2652f51217/416x416.jpg?background=000000&cropX1=15&cropX2=1937&cropY1=258&cropY2=2180",4
"570",570,550,"Zhang Xuexin","Zhang","zhang-xuexin","no-pic",4000,70,"aluminum","Metals & Mining","M","China",NA,4
"571",571,550,"Zhang Yiming","Zhang","zhang-yiming","no-pic",4000,34,"software","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a7d250aa7ea431690130ede/416x416.jpg?background=000000&cropX1=1389&cropX2=2538&cropY1=771&cropY2=1919",4
"572",572,572,"Suhail Bahwan","Bahwan","suhail-bahwan","no-pic",3900,79,"diversified","Diversified","M","Oman","//specials-images.forbesimg.com/imageserve/58accd954bbe6f0e55873ffd/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=39&cropY2=783",3.9
"573",573,572,"Rick Caruso","Caruso","rick-caruso","rick-caruso",3900,59,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/5a8dd7e74bbe6f2652f6274e/416x416.jpg?background=000000&cropX1=0&cropX2=1983&cropY1=0&cropY2=1984",3.9
"574",574,572,"Tom Gores","Gores","tom-gores","tom-gores",3900,53,"private equity","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/59dbd23431358e542c0380ab/416x416.jpg?background=000000&cropX1=1074&cropX2=2950&cropY1=130&cropY2=2006",3.9
"575",575,572,"Peter Hargreaves","Hargreaves","peter-hargreaves","peter-hargreaves",3900,71,"financial services","Finance and Investments","M","United Kingdom","//specials-images.forbesimg.com/imageserve/5a815fca4bbe6f2652f547f7/416x416.jpg?background=000000&cropX1=867&cropX2=2267&cropY1=479&cropY2=1880",3.9
"576",576,572,"Daniela Herz","Herz","daniela-herz","no-pic-female",3900,64,"coffee","Finance and Investments","F","Germany",NA,3.9
"577",577,572,"Guenter Herz","Herz","guenter-herz","no-pic",3900,77,"coffee","Finance and Investments","M","Germany","//specials-images.forbesimg.com/imageserve/58a1d3a331358e1a35ab4263/416x416.jpg?background=000000&cropX1=87&cropX2=630&cropY1=95&cropY2=638",3.9
"578",578,572,"Masatoshi Ito","Ito","masatoshi-ito","masatoshi-ito",3900,93,"retail","Fashion & Retail","M","Japan","//specials-images.forbesimg.com/imageserve/9a1adba9e6b474399573d48ba6ef713a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775",3.9
"579",579,572,"Barry Lam","Lam","barry-lam","barry-lam",3900,68,"electronics","Technology","M","Taiwan","//specials-images.forbesimg.com/imageserve/56cc32c1e4b062f6b59a4fdd/416x416.jpg?background=000000&cropX1=45&cropX2=651&cropY1=89&cropY2=695",3.9
"580",580,572,"Sudhir & Samir Mehta","Mehta","sudhir-samir-mehta","sudhir-samir-mehta",3900,500,"diversified","Diversified","M","India","//specials-images.forbesimg.com/imageserve/5a7f51604bbe6f2652f530eb/416x416.jpg?background=000000&cropX1=213&cropX2=2283&cropY1=462&cropY2=2531",3.9
"581",581,572,"Ravi Pillai","Pillai","ravi-pillai","ravi-pillai",3900,64,"construction","Construction & Engineering","M","India","//specials-images.forbesimg.com/imageserve/852181c7f225b2df196d085d65487095/416x416.jpg?background=000000&cropX1=89&cropX2=704&cropY1=81&cropY2=697",3.9
"582",582,572,"Stewart and Lynda Resnick","Resnick","stewart-and-lynda-resnick","stewart-and-lynda-resnick",3900,500,"agriculture, water","Food and Beverage","unknown","United States","//specials-images.forbesimg.com/imageserve/59d7fd0731358e542c036eb5/416x416.jpg?background=000000&cropX1=575&cropX2=2287&cropY1=341&cropY2=2053",3.9
"583",583,572,"Jerry Speyer","Speyer","jerry-speyer","jerry-speyer",3900,77,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/59d7fdd831358e542c036ecf/416x416.jpg?background=000000&cropX1=169&cropX2=1611&cropY1=40&cropY2=1483",3.9
