"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"1189",1189,1157,"Igor Makarov","Makarov","igor-makarov","igor-makarov",2100,55,"investments","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80a8b0a7ea431690133b22/416x416.jpg?background=000000&cropX1=459&cropX2=2679&cropY1=0&cropY2=2220",2.1
"1190",1190,1157,"Mao Lixiang","Mao","mao-lixiang","no-pic",2100,77,"cooking appliances","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a875b264bbe6f2652f5cbad/416x416.jpg?background=000000&cropX1=0&cropX2=1360&cropY1=110&cropY2=1471",2.1
"1191",1191,1157,"Harsh Mariwala","Mariwala","harsh-mariwala","harsh-mariwala",2100,66,"consumer goods","Food and Beverage","M","India","//specials-images.forbesimg.com/imageserve/59cc09d2a7ea434a34f46b80/416x416.jpg?background=000000&cropX1=1069&cropX2=3709&cropY1=17&cropY2=2658",2.1
"1192",1192,1157,"Martin Moller Nielsen","Moller Nielsen","martin-moller-nielsen","no-pic",2100,53,"aircraft leasing","Logistics","M","Denmark","//specials-images.forbesimg.com/imageserve/5a7dd8f831358e4955ad06ef/416x416.jpg?background=000000&cropX1=255&cropX2=1638&cropY1=69&cropY2=1452",2.1
"1193",1193,1157,"David Murdock","Murdock","david-murdock","david-murdock",2100,94,"Dole, real estate","Food and Beverage","M","United States","//specials-images.forbesimg.com/imageserve/59dd6e0031358e542c03936e/416x416.jpg?background=000000&cropX1=160&cropX2=2065&cropY1=0&cropY2=1905",2.1
"1194",1194,1157,"N.R. Narayana Murthy","Murthy","nr-narayana-murthy","nr-narayana-murthy",2100,71,"software services","Technology","M","India","//specials-images.forbesimg.com/imageserve/5a7f3fc0a7ea431690132ab3/416x416.jpg?background=000000&cropX1=1510&cropX2=3587&cropY1=0&cropY2=2076",2.1
"1195",1195,1157,"Georg Nemetschek","Nemetschek","georg-nemetschek","no-pic",2100,84,"software","Technology","M","Germany","//specials-images.forbesimg.com/imageserve/58c846bc4bbe6f0e55889231/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=64&cropY2=808",2.1
"1196",1196,1157,"Vikas Oberoi","Oberoi","vikas-oberoi","vikas-oberoi",2100,47,"real estate","Real Estate","M","India","//specials-images.forbesimg.com/imageserve/ffdcd99a9e6ef28bea3c8696104c836d/416x416.jpg?background=000000&cropX1=155&cropX2=744&cropY1=6&cropY2=596",2.1
"1197",1197,1157,"Maja Oeri","Oeri","maja-oeri","maja-oeri",2100,63,"Roche Holding","Healthcare","F","Switzerland","//specials-images.forbesimg.com/imageserve/5a81283c31358e4955ad313b/416x416.jpg?background=000000&cropX1=3&cropX2=1194&cropY1=63&cropY2=1255",2.1
"1198",1198,1157,"Ong Beng Seng and Christina Ong","Ong Beng Seng","ong-beng-seng-and-christina-ong","ong-beng-seng-and-christina-ong",2100,73,"diversified","Diversified","unknown","Singapore","//specials-images.forbesimg.com/imageserve/5a80f017a7ea431690133ea0/416x416.jpg?background=000000&cropX1=4&cropX2=966&cropY1=151&cropY2=1112",2.1
"1199",1199,1157,"H. Ross Perot, Jr.","Perot","h-ross-perot-jr","h-ross-perot-jr",2100,59,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/5a8dfd6331358e4955ae0026/416x416.jpg?background=000000&cropX1=0&cropX2=1268&cropY1=326&cropY2=1595",2.1
"1200",1200,1157,"Tor Peterson","Peterson","tor-peterson","no-pic",2100,53,"commodities","Metals & Mining","M","United States",NA,2.1
"1201",1201,1157,"Heloise Pratt","Pratt","heloise-pratt","no-pic-female",2100,55,"manufacturing, investment","Manufacturing","F","Australia","//specials-images.forbesimg.com/imageserve/5a7a55cf4bbe6f2652f4d5cf/416x416.jpg?background=000000&cropX1=108&cropX2=682&cropY1=79&cropY2=653",2.1
"1202",1202,1157,"Alexey Repik","Repik","alexey-repik","no-pic",2100,38,"pharmaceuticals","Healthcare","M","Russia","//specials-images.forbesimg.com/imageserve/5a8090244bbe6f2652f53d39/416x416.jpg?background=000000&cropX1=737&cropX2=3371&cropY1=34&cropY2=2667",2.1
"1203",1203,1157,"Shin Chang-Jae","Shin","shin-chang-jae","shin-chang-jae",2100,64,"insurance","Finance and Investments","M","South Korea","//specials-images.forbesimg.com/imageserve/571a7081a7ea43722d781fcd/416x416.jpg?background=000000&cropX1=39&cropX2=744&cropY1=2&cropY2=708",2.1
"1204",1204,1157,"Kavitark Ram Shriram","Shriram","kavitark-ram-shriram","kavitark-ram-shriram",2100,61,"venture capital, Google","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59de75594bbe6f37dda0582b/416x416.jpg?background=000000&cropX1=645&cropX2=1715&cropY1=135&cropY2=1205",2.1
"1205",1205,1157,"Sylvia Stroeher","Stroeher","sylvia-stroeher","no-pic-female",2100,62,"cosmetics","Fashion & Retail","F","Germany","//specials-images.forbesimg.com/imageserve/5a7e504b4bbe6f2652f529a5/416x416.jpg?background=000000&cropX1=0&cropX2=2111&cropY1=642&cropY2=2754",2.1
"1206",1206,1157,"Katsumi Tada","Tada","katsumi-tada","katsumi-tada",2100,72,"real estate","Real Estate","M","Japan","//specials-images.forbesimg.com/imageserve/10c5ecbe5c4b5ce4febd3e3afc9a5196/416x416.jpg?background=000000&cropX1=1&cropX2=372&cropY1=26&cropY2=397",2.1
"1207",1207,1157,"Tang Shing-bor","Tang","tang-shing-bor","no-pic",2100,84,"real estate","Real Estate","M","Hong Kong",NA,2.1
"1208",1208,1157,"Georg von Opel","von Opel","georg-von-opel","georg-von-opel",2100,51,"real estate, investments","Finance and Investments","M","Switzerland","//specials-images.forbesimg.com/imageserve/5a81bee54bbe6f2652f55107/416x416.jpg?background=000000&cropX1=431&cropX2=2653&cropY1=122&cropY2=2343",2.1
"1209",1209,1157,"David Walentas","Walentas","david-walentas","david-walentas",2100,79,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/59de763e31358e542c039ec4/416x416.jpg?background=000000&cropX1=1103&cropX2=2074&cropY1=526&cropY2=1496",2.1
"1210",1210,1157,"Ronald Wanek","Wanek","ronald-wanek","ronald-wanek",2100,76,"furniture","Manufacturing","M","United States","//specials-images.forbesimg.com/imageserve/59de76b431358e542c039eea/416x416.jpg?background=000000&cropX1=138&cropX2=1232&cropY1=52&cropY2=1145",2.1
"1211",1211,1157,"Wang Changtian","Wang","wang-changtian","wang-changtian",2100,52,"TV, movie production","Media & Entertainment","M","China","//specials-images.forbesimg.com/imageserve/5a7cf2ad4bbe6f2652f510b3/416x416.jpg?background=000000&cropX1=3&cropX2=1134&cropY1=6&cropY2=1138",2.1
"1212",1212,1157,"Wang Wenjing","Wang","wang-wenjing","wang-wenjing",2100,53,"business software","Technology","M","China","//specials-images.forbesimg.com/imageserve/589de75931358e1a35ab137c/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=44&cropY2=787",2.1
"1213",1213,1157,"Ye Cheng","Ye","ye-cheng","no-pic",2100,56,"conglomerate","Diversified","M","China",NA,2.1
"1214",1214,1157,"Zhu Gongshan","Zhu","zhu-gongshan","zhu-gongshan",2100,60,"solar panel materials","Manufacturing","M","China","//specials-images.forbesimg.com/imageserve/6f98bef92dfa940abaa376847526947c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=66&cropY2=810",2.1
"1215",1215,1215,"Antti Aarnio-Wihuri","Aarnio-Wihuri","antti-aarnio-wihuri","no-pic",2000,78,"diversified","Diversified","M","Finland","//specials-images.forbesimg.com/imageserve/58b739304bbe6f0e5587d172/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=176&cropY2=920",2
"1216",1216,1215,"S. Daniel Abraham","Abraham","s-daniel-abraham","s-daniel-abraham",2000,93,"Slim-Fast","Food and Beverage","M","United States","//specials-images.forbesimg.com/imageserve/face056db8f0401bbb4ab99b79acfefb/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791",2
"1217",1217,1215,"Joao Alves de Queiroz Filho","Alves de Queiroz Filho","joao-alves-de-queiroz-filho","no-pic",2000,65,"pharmaceuticals","Diversified","M","Brazil",NA,2
"1218",1218,1215,"Mika Anttonen","Anttonen","mika-anttonen","no-pic",2000,51,"oil & gas","Energy","M","Finland","//specials-images.forbesimg.com/imageserve/58b061b1a7ea431f321a1929/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823",2
"1219",1219,1215,"Thor Bjorgolfsson","Bjorgolfsson","thor-bjorgolfsson","thor-bjorgolfsson",2000,50,"investments","Diversified","M","Iceland","//specials-images.forbesimg.com/imageserve/5a7e7c394bbe6f2652f52b10/416x416.jpg?background=000000&cropX1=1086&cropX2=3000&cropY1=23&cropY2=1936",2
"1220",1220,1215,"Andrei Bokarev","Bokarev","andrei-bokarev","andrei-bokarev",2000,51,"metals, mining","Manufacturing","M","Russia","//specials-images.forbesimg.com/imageserve/5a80916731358e4955ad29bf/416x416.jpg?background=000000&cropX1=1235&cropX2=3932&cropY1=8&cropY2=2703",2
"1221",1221,1215,"Bernhard Braun-Luedicke","Braun-Luedicke","bernhard-braun-luedicke","no-pic",2000,41,"medical technology","Healthcare","M","Germany",NA,2
"1222",1222,1215,"Eva Maria Braun-Luedicke","Braun-Luedicke","eva-maria-braun-luedicke","no-pic-female",2000,31,"medical technology","Healthcare","F","Germany",NA,2
"1223",1223,1215,"Friederike Braun-Luedicke","Braun-Luedicke","friederike-braun-luedicke","no-pic-female",2000,34,"medical technology","Healthcare","F","Germany",NA,2
"1224",1224,1215,"Ron Burkle","Burkle","ron-burkle","ron-burkle",2000,65,"supermarkets, investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/55fab50ee4b0ffa7afe4aef8/416x416.jpg?background=000000&cropX1=127&cropX2=744&cropY1=60&cropY2=677",2
"1225",1225,1215,"Vivek Chand Burman","Burman","vivek-chand-burman","no-pic",2000,80,"consumer goods","Food and Beverage","M","India","//specials-images.forbesimg.com/imageserve/5a7f564631358e4955ad1c11/416x416.jpg?background=000000&cropX1=339&cropX2=1931&cropY1=300&cropY2=1893",2
"1226",1226,1215,"Chen Yung-Tai","Chen","chen-yung-tai","chen-yung-tai",2000,82,"real estate","Real Estate","M","Taiwan","//specials-images.forbesimg.com/imageserve/250aa73982fb534adec6178d9b3218ff/416x416.jpg?background=000000&cropX1=126&cropX2=550&cropY1=409&cropY2=833",2
"1227",1227,1215,"James Clark","Clark","james-clark","james-clark",2000,73,"Netscape, investments","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59de798131358e542c039ef4/416x416.jpg?background=000000&cropX1=524&cropX2=1382&cropY1=252&cropY2=1111",2
"1228",1228,1215,"Christopher Cline","Cline","christopher-cline","christopher-cline",2000,59,"coal","Energy","M","United States","//specials-images.forbesimg.com/imageserve/59de7c1f31358e542c039f26/416x416.jpg?background=000000&cropX1=621&cropX2=1842&cropY1=330&cropY2=1551",2
"1229",1229,1215,"Alexandra Daitch","Daitch","alexandra-daitch","no-pic-female",2000,55,"Cargill","Food and Beverage","F","United States",NA,2
"1230",1230,1215,"Dong Wei","Dong","dong-wei-2","no-pic",2000,47,"pharmaceuticals","Healthcare","M","China",NA,2
"1231",1231,1215,"Fritz Draexlmaier","Draexlmaier","fritz-draexlmaier","fritz-draexlmaier",2000,0,"auto parts","Automotive","M","Germany","//specials-images.forbesimg.com/imageserve/4918482bf6002ee65717261954ba7148/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=44&cropY2=788",2
"1232",1232,1215,"Glenn Dubin","Dubin","glenn-dubin","glenn-dubin",2000,60,"hedge funds","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/5a8dfd08a7ea431690141099/416x416.jpg?background=000000&cropX1=1452&cropX2=2856&cropY1=438&cropY2=1841",2
"1233",1233,1215,"Robert Duggan","Duggan","robert-duggan","robert-duggan",2000,73,"pharmaceuticals","Healthcare","M","United States","//specials-images.forbesimg.com/imageserve/e3fd6b2d18ee5fda5cb316a7cea561d6/416x416.jpg?background=000000&cropX1=155&cropX2=551&cropY1=61&cropY2=457",2
"1234",1234,1215,"Jayme Garfinkel","Garfinkel","jayme-garfinkel","jayme-garfinkel",2000,72,"insurance","Finance and Investments","M","Brazil","//specials-images.forbesimg.com/imageserve/5a7b7e7fa7ea43169012eeaa/416x416.jpg?background=000000&cropX1=0&cropX2=2740&cropY1=22&cropY2=2760",2
"1235",1235,1215,"Sam Goi","Goi","sam-goi","sam-goi",2000,69,"frozen foods","Food and Beverage","M","Singapore","//specials-images.forbesimg.com/imageserve/5a80f48da7ea431690133ed6/416x416.jpg?background=000000&cropX1=2072&cropX2=4724&cropY1=446&cropY2=3099",2
"1236",1236,1215,"Thomas Hagen","Hagen","thomas-hagen","no-pic",2000,82,"insurance","Finance and Investments","M","United States",NA,2
"1237",1237,1215,"Carlos Hank Rhon","Hank Rhon","carlos-hank-rhon","carlos-hank-rhon",2000,70,"banking","Diversified","M","Mexico","//specials-images.forbesimg.com/imageserve/5a7fcbf031358e4955ad2203/416x416.jpg?background=000000&cropX1=176&cropX2=1009&cropY1=100&cropY2=933",2
"1238",1238,1215,"Christoph Henkel","Henkel","christoph-henkel","christoph-henkel",2000,60,"consumer goods","Fashion & Retail","M","Germany","//specials-images.forbesimg.com/imageserve/5a7e0e534bbe6f2652f5252d/416x416.jpg?background=000000&cropX1=0&cropX2=2546&cropY1=745&cropY2=3290",2
"1239",1239,1215,"Hu Kaijun","Hu","hu-kaijun","no-pic",2000,56,"pharmaceuticals","Healthcare","M","China",NA,2
"1240",1240,1215,"Huang Yi","Huang","huang-yi","no-pic",2000,56,"auto distribution","Automotive","M","Hong Kong","//specials-images.forbesimg.com/imageserve/601330d5e69781741753b1f2f5975025/416x416.jpg?background=000000&cropX1=52&cropX2=333&cropY1=13&cropY2=294",2
"1241",1241,1215,"Ramesh Juneja","Juneja","ramesh-juneja","ramesh-juneja",2000,62,"pharmaceuticals","Healthcare","M","India","//specials-images.forbesimg.com/imageserve/59cc15df4bbe6f37dd9f9282/416x416.jpg?background=000000&cropX1=479&cropX2=2410&cropY1=4&cropY2=1936",2
"1242",1242,1215,"Bruce Karsh","Karsh","bruce-karsh","bruce-karsh",2000,62,"private equity","Finance and Investments","M","United States","http://specials-images.forbesimg.com/imageserve/37cb3c5439cefb35fd4e59b7834e34a8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=139&cropY2=883",2
"1243",1243,1215,"Henry Laufer","Laufer","henry-laufer","no-pic",2000,72,"hedge funds","Finance and Investments","M","United States",NA,2
"1244",1244,1215,"Lee Boo-Jin","Lee","lee-boo-jin","lee-boo-jin",2000,47,"computer services, tourism","Service","F","South Korea","//specials-images.forbesimg.com/imageserve/571a71de31358e1869e2a906/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=0&cropY2=744",2
"1245",1245,1215,"Lee Jay-Hyun","Lee","lee-jay-hyun","lee-jay-hyun",2000,57,"food products, entertainment","Diversified","M","South Korea","//specials-images.forbesimg.com/imageserve/5a81060531358e4955ad2fce/416x416.jpg?background=000000&cropX1=123&cropX2=934&cropY1=106&cropY2=917",2
"1246",1246,1215,"Wolfgang Leitner","Leitner","wolfgang-leitner","wolfgang-leitner",2000,64,"engineering","Construction & Engineering","M","Austria","//specials-images.forbesimg.com/imageserve/5a7b76eda7ea43169012ee06/416x416.jpg?background=000000&cropX1=593&cropX2=3244&cropY1=11&cropY2=2660",2
"1247",1247,1215,"Li Ge","Li","li-ge-1","no-pic",2000,51,"biotech","Healthcare","M","China","//specials-images.forbesimg.com/imageserve/5a87528931358e4955ada79d/416x416.jpg?background=000000&cropX1=364&cropX2=2000&cropY1=583&cropY2=2220",2
"1248",1248,1215,"Harald Link","Link","harald-link","harald-link",2000,63,"diversified","Diversified","M","Thailand","//specials-images.forbesimg.com/imageserve/5a813caa31358e4955ad326e/416x416.jpg?background=000000&cropX1=1325&cropX2=3885&cropY1=261&cropY2=2820",2
"1249",1249,1215,"Liu Ming Hui","Liu","liu-ming-hui","liu-ming-hui",2000,55,"natural gas distribution","Energy","M","China","//specials-images.forbesimg.com/imageserve/5a7cda0fa7ea431690130b75/416x416.jpg?background=000000&cropX1=1126&cropX2=3692&cropY1=63&cropY2=2627",2
"1250",1250,1215,"Jeffrey Lurie","Lurie","jeffrey-lurie","jeffrey-lurie",2000,66,"Philadelphia Eagles","Sports","M","United States","//specials-images.forbesimg.com/imageserve/5a8dfde131358e4955ae0037/416x416.jpg?background=000000&cropX1=665&cropX2=2589&cropY1=84&cropY2=2007",2
"1251",1251,1215,"Ma Xingtian","Ma","ma-xingtian","ma-xingtian",2000,48,"pharmaceuticals","Healthcare","M","China","//specials-images.forbesimg.com/imageserve/53248972c5824d9bcf7c7db5aecfbf2d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747",2
"1252",1252,1215,"Sarah MacMillan","MacMillan","sarah-macmillan","no-pic-female",2000,64,"Cargill","Food and Beverage","F","United States",NA,2
"1253",1253,1215,"Howard Marks","Marks","howard-marks","howard-marks",2000,71,"private equity","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/59de733931358e542c039e6f/416x416.jpg?background=000000&cropX1=817&cropX2=2143&cropY1=263&cropY2=1588",2
"1254",1254,1215,"Miao Shouliang","Miao","miao-shouliang","miao-shouliang",2000,63,"real estate","Real Estate","M","China","//specials-images.forbesimg.com/imageserve/589d2e55a7ea431f32192a5e/416x416.jpg?background=000000&cropX1=29&cropX2=723&cropY1=103&cropY2=798",2
"1255",1255,1215,"Lachhman Das Mittal","Mittal","lachhman-das-mittal","lachhman-das-mittal",2000,87,"tractors","Automotive","M","India","//specials-images.forbesimg.com/imageserve/59cc1536a7ea434a34f46d14/416x416.jpg?background=000000&cropX1=15&cropX2=2304&cropY1=5&cropY2=2296",2
"1256",1256,1215,"Mario Moretti Polegato","Moretti Polegato","mario-moretti-polegato","mario-moretti-polegato",2000,65,"shoes","Fashion & Retail","M","Italy","//specials-images.forbesimg.com/imageserve/5a7f982131358e4955ad1e63/416x416.jpg?background=000000&cropX1=12&cropX2=2905&cropY1=0&cropY2=2895",2
"1257",1257,1215,"Vadim Moshkovich","Moshkovich","vadim-moshkovich","vadim-moshkovich",2000,50,"agriculture, land","Food and Beverage","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c31da7ea431690133cac/416x416.jpg?background=000000&cropX1=668&cropX2=2596&cropY1=7&cropY2=1935",2
"1258",1258,1215,"Mofatraj Munot","Munot","mofatraj-munot","mofatraj-munot",2000,73,"real estate","Real Estate","M","India","http://specials-images.forbesimg.com/imageserve/7c6c5d8021800a5b72c6170da704db3c/416x416.jpg?background=000000&cropX1=56&cropX2=567&cropY1=31&cropY2=542",2
"1259",1259,1215,"Jonathan Nelson","Nelson","jonathan-nelson","jonathan-nelson",2000,61,"private equity","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/57e196d24bbe6f6781c5301d/416x416.jpg?background=000000&cropX1=21&cropX2=667&cropY1=250&cropY2=896",2
"1260",1260,1215,"Florentino Perez","Perez","florentino-perez","florentino-perez",2000,70,"construction","Construction & Engineering","M","Spain","//specials-images.forbesimg.com/imageserve/5a810d9b4bbe6f2652f544ac/416x416.jpg?background=000000&cropX1=60&cropX2=2760&cropY1=282&cropY2=2984",2
"1261",1261,1215,"Chuchat & Daonapa Petaumpai","Petaumpai","chuchat-daonapa-petaumpai","chuchat-daonapa-petaumpai",2000,64,"motorcycle loans","Finance and Investments","unknown","Thailand","//specials-images.forbesimg.com/imageserve/592d7a004bbe6f1b730adefd/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416",2
"1262",1262,1215,"Peter Peterson","Peterson","peter-peterson","peter-peterson",2000,91,"investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/301309845d8d9ff310b38d473fd6da2b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=92&cropY2=836",2
"1263",1263,1215,"Arvind Poddar","Poddar","arvind-poddar","no-pic",2000,60,"tires","Automotive","M","India","//specials-images.forbesimg.com/imageserve/59cc1d9b31358e542c02fcb0/416x416.jpg?background=000000&cropX1=43&cropX2=2087&cropY1=141&cropY2=2185",2
"1264",1264,1215,"Murdaya Poo","Poo","murdaya-poo","murdaya-poo",2000,77,"diversified","Diversified","M","Indonesia","//specials-images.forbesimg.com/imageserve/58adc4234bbe6f0e55874af8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=68&cropY2=812",2
"1265",1265,1215,"Ren Zhengfei","Ren","ren-zhengfei","ren-zhengfei",2000,74,"telecom equipment","Telecom","M","China","http://specials-images.forbesimg.com/imageserve/56c6960fe4b062f6b59a146c/416x416.jpg?background=000000&cropX1=279&cropX2=635&cropY1=314&cropY2=670",2
"1266",1266,1215,"Antony Ressler","Ressler","antony-ressler","antony-ressler",2000,56,"finance","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/5a8ed46831358e4955ae0767/416x416.jpg?background=000000&cropX1=1020&cropX2=1941&cropY1=240&cropY2=1161",2
"1267",1267,1215,"Francisco Jose Riberas Mera","Riberas Mera","francisco-jose-riberas-mera","no-pic",2000,53,"steel, autoparts","Manufacturing","M","Spain","//specials-images.forbesimg.com/imageserve/5a810f404bbe6f2652f544b8/416x416.jpg?background=000000&cropX1=48&cropX2=1351&cropY1=340&cropY2=1642",2
"1268",1268,1215,"Rodney Sacks","Sacks","rodney-sacks","rodney-sacks",2000,68,"energy drinks","Food and Beverage","M","United States","//specials-images.forbesimg.com/imageserve/5a8ee8a44bbe6f2652f63740/416x416.jpg?background=000000&cropX1=505&cropX2=2548&cropY1=0&cropY2=2044",2
"1269",1269,1215,"Hilton Schlosberg","Schlosberg","hilton-schlosberg","no-pic",2000,65,"energy drinks","Food and Beverage","M","United Kingdom","//specials-images.forbesimg.com/imageserve/56cc6b78e4b062f6b59a5137/416x416.jpg?background=000000&cropX1=134&cropX2=654&cropY1=44&cropY2=564",2
"1270",1270,1215,"Brian Sheth","Sheth","brian-sheth","brian-sheth",2000,42,"investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/564a387be4b0ffa7afe72f81/416x416.jpg?background=000000&cropX1=58&cropX2=681&cropY1=0&cropY2=624",2
"1271",1271,1215,"Lucy Stitzer","Stitzer","lucy-stitzer","no-pic-female",2000,58,"Cargill","Food and Beverage","F","United States",NA,2
"1272",1272,1215,"Su Suyu","Su","su-suyu","no-pic-female",2000,69,"utilities, real estate","Real Estate","F","China",NA,2
"1273",1273,1215,"Satoshi Suzuki","Suzuki","satoshi-suzuki","satoshi-suzuki",2000,63,"cosmetics","Fashion & Retail","M","Japan","//specials-images.forbesimg.com/imageserve/551ad52fe4b0ffa93fd26776/416x416.jpg?background=000000&cropX1=0&cropX2=622&cropY1=6&cropY2=628",2
"1274",1274,1215,"Katherine Tanner","Tanner","katherine-tanner","no-pic-female",2000,62,"Cargill","Food and Beverage","F","United States",NA,2
"1275",1275,1215,"Arvind Tiku","Tiku","arvind-tiku","arvind-tiku",2000,48,"oil & gas, investments","Energy","M","India","//specials-images.forbesimg.com/imageserve/579b39f7a7ea4374a7c66ecf/416x416.jpg?background=000000&cropX1=60&cropX2=711&cropY1=103&cropY2=754",2
"1276",1276,1215,"Wang Liping","Wang","wang-liping","no-pic",2000,52,"hydraulic machinery","Manufacturing","M","China",NA,2
"1277",1277,1215,"Wang Xicheng","Wang","wang-xicheng","no-pic",2000,69,"tires","Manufacturing","M","China",NA,2
"1278",1278,1215,"Wei Shaojun","Wei","wei-shaojun","wei-shaojun",2000,55,"real estate","Real Estate","M","China","//specials-images.forbesimg.com/imageserve/6831d2c5e08db906f140f99ef0391369/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784",2
"1279",1279,1215,"Amy Wyss","Wyss","amy-wyss","amy-wyss",2000,47,"medical equipment","Healthcare","F","United States","//specials-images.forbesimg.com/imageserve/55fb1546e4b0ffa7afe4b467/416x416.jpg?background=000000&cropX1=93&cropX2=632&cropY1=53&cropY2=593",2
"1280",1280,1215,"Jon Yarbrough","Yarbrough","jon-yarbrough","jon-yarbrough",2000,60,"video games","Gambling & Casinos","M","United States","//specials-images.forbesimg.com/imageserve/dd7552476d261280b2c8fcc28c43eb78/416x416.jpg?background=000000&cropX1=137&cropX2=577&cropY1=48&cropY2=488",2
"1281",1281,1215,"Vladimir Yevtushenkov","Yevtushenkov","vladimir-yevtushenkov","vladimir-yevtushenkov",2000,69,"telecom, investments","Telecom","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c9d631358e4955ad2cc7/416x416.jpg?background=000000&cropX1=6&cropX2=2701&cropY1=0&cropY2=2697",2
"1282",1282,1215,"Charles Zegar","Zegar","charles-zegar","no-pic",2000,70,"Bloomberg LP","Media & Entertainment","M","United States",NA,2
"1283",1283,1215,"Zhu Baoguo","Zhu","zhu-baoguo","zhu-baoguo",2000,55,"pharmaceuticals","Healthcare","M","China","//specials-images.forbesimg.com/imageserve/589f386aa7ea431f3219482d/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=18&cropY2=758",2
"1284",1284,1284,"Saif Al Ghurair","Al Ghurair","saif-al-ghurair","saif-al-ghurair",1900,94,"diversified","Diversified","M","United Arab Emirates","//specials-images.forbesimg.com/imageserve/5b907c1f479b257341b58dc6bcfca523/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744",1.9
"1285",1285,1284,"Syed Mokhtar AlBukhary","AlBukhary","syed-mokhtar-albukhary","syed-mokhtar-albukhary",1900,66,"engineering, energy, construction","Diversified","M","Malaysia","//specials-images.forbesimg.com/imageserve/34ecc96674c89b47c3c26a4fd3c61898/416x416.jpg?background=000000&cropX1=171&cropX2=569&cropY1=77&cropY2=475",1.9
"1286",1286,1284,"Miriam Baumann-Blocher","Baumann-Blocher","miriam-baumann-blocher","miriam-baumann-blocher",1900,43,"chemicals","Manufacturing","F","Switzerland","//specials-images.forbesimg.com/imageserve/56cc2e6fe4b062f6b59a4fc4/416x416.jpg?background=000000&cropX1=176&cropX2=736&cropY1=122&cropY2=683",1.9
"1287",1287,1284,"Albert Berner","Berner","albert-berner","albert-berner",1900,82,"fasteners","Manufacturing","M","Germany","//specials-images.forbesimg.com/imageserve/f5c29e3cca4603520881dc6d5c9e2c6b/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=19&cropY2=762",1.9
"1288",1288,1284,"Thomas Bruch","Bruch","thomas-bruch","thomas-bruch",1900,67,"retail","Fashion & Retail","M","Germany","//specials-images.forbesimg.com/imageserve/1edeb6db1484069b9169eba6abaacea4/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=6&cropY2=746",1.9
"1289",1289,1284,"Chang Yun Chung","Chang","chang-yun-chung","no-pic",1900,99,"shipping","Logistics","M","Singapore",NA,1.9
"1290",1290,1284,"Kiat Chiaravanont","Chiaravanont","kiat-chiaravanont","no-pic",1900,0,"diversified","Diversified","M","Thailand",NA,1.9
"1291",1291,1284,"Jean-Paul and Martine Clozel","Clozel","jean-paul-and-martine-clozel","no-pic",1900,500,"pharmaceuticals","Healthcare","unknown","Switzerland","//specials-images.forbesimg.com/imageserve/5a812736a7ea4316901340c1/416x416.jpg?background=000000&cropX1=1951&cropX2=4163&cropY1=658&cropY2=2868",1.9
"1292",1292,1284,"Benjamin de Rothschild","de Rothschild","benjamin-de-rothschild","benjamin-de-rothschild",1900,54,"banking","Finance and Investments","M","Switzerland","//specials-images.forbesimg.com/imageserve/5a8123ab4bbe6f2652f54614/416x416.jpg?background=000000&cropX1=484&cropX2=2473&cropY1=4&cropY2=1991",1.9
